Context,Behavior,Definition,Detail Page URL
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Eyes-Wide (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=91&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Foot-Nudge (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=104&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Husky-Cry (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=129&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Lifting (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=140&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Mounting (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=156&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Open-Mouth (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=168&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Pirouette (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=182&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Pulling (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=188&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Rapid-Ear-Flapping (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=193&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Reach-Over (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=194&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Roar (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=205&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Scrape-Ground (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=225&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Sheltering (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=236&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Social-Trumpet (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=247&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Suckle-Stance (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=257&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trumpet (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=334&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trunk-to-Body (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=281&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trunk-to-Face (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=283&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trunk-to-Genitals (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=284&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trunk-to-Infant-at-Breast (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=282&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trunk-to-Mouth (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=285&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Trunk-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=286&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Urinating (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=292&cvid=
"BirthBehavior engaged in by a newborn, its family members or nearby elephants during, or within 24 hours prior to, or after, parturition, that relate to the birth.",Walk-Wait (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=298&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Allo-Suckling (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=5&cvid=MTg1NiwxODU3LDE4NTgsMTg1OQ==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Begging-Rumble (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=12&cvid=MTExOCwxMTE5LDExMjAsMTEyMSwxMTIyLDIxOTAsMjMxMg==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Body-Nudge (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=23&cvid=MjMxMw==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Coo-Rumble (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=55&cvid=MTIzMywxMjM0LDEyMzU=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Cry (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=59&cvid=MTQ4NiwyMjEx
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Double-Suckling (11),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=67&cvid=OTc0LDk3NSw5NzYsOTc3LDE3MDAsMTk1MiwxOTUzLDE5NTQsMTk1NSwyMjE0LDI3MzM=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Ears-Stiff (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=80&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Eye-Blinking (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=90&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Food-Sharing (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=100&cvid=MzkzLDM5NCwzOTU=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Food-Stealing (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=101&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Foreleg-Block (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=107&cvid=MjIzNg==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Grasp-Breast (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=110&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Grasp-Leg (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=111&cvid=MjE1MQ==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Grasp-Tail (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=112&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Grasp-Trunk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=113&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Grumble-Rumble (8),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=117&cvid=MTA4MSwxMDgyLDEwODMsMTA4NCwxMDg1LDEwODYsMTA4NywyMTUz
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Head-Swipe (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=125&cvid=NzE1LDcxNg==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Husky-Cry (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=129&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Kick-Back (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=132&cvid=Nzk1LDc5Niw3OTcsNzk4
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Penis-Erection (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=172&cvid=ODg1
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Periscope-Trunk (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=173&cvid=MTU3NQ==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Pinch-Genitals (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=181&cvid=Mjc2OCwyNzY5LDI3NzA=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Resting-Trunk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=332&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Roar (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=205&cvid=MjE3NCwyMjU2LDIyNTc=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Suckle-Stance (9),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=257&cvid=NTY2LDU2Nyw1NjgsNTY5LDU3MCw1NzEsNTcyLDU3MywyODE3
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Suckling (13),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=258&cvid=OTA2LDkwNyw5MDgsOTA5LDkxMCw5MTEsOTEyLDkxMyw5MTQsOTE1LDE0MTUsMjI2NywyMjY4
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Tail-Swatting (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=261&cvid=NjEw
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Trunk-to-Genitals (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=284&cvid=NzQzLDI4NDEsNzQ0
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Trunk-to-Infant-at-Breast (16),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=282&cvid=NTc0LDU3NSw1NzYsNTc3LDU3OCw1NzksNTgwLDU4MSw1ODIsMjAxMSwyMDEyLDIwMTMsMjAxNCwyMjg0LDIyODUsMjg3Mg==
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Tusking (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=291&cvid=MTE2MSwxMTYy
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Walk-Away (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=345&cvid=
Calf Nourishment & WeaningBehaviors engaged in by mother and calf tomeet the nutritional requirements of the calf and during the process of weaning.,Walk-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=344&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Alarmed-Trumpet (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=3&cvid=MTM4NCwxNTkwLDE4NjA=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Allo-Trunk-Sucking (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=6&cvid=MTAz
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Back-Toward (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=9&cvid=MTIxLDg2NA==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Baroo-Rumble (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=10&cvid=MTQ0NQ==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Call-Calf-Rumble (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=322&cvid=MTIyMywxMjI0LDIzMTU=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Carry (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=34&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Comfort-Suckling (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=46&cvid=NjUyLDY1Myw2NTQsNjU1LDY1NiwyMjA4
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Coo-Rumble (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=55&cvid=MTIzNiwxMjM3LDIyMDksMjIxMCwyMjQwLDIzMTY=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Digging (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=377&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Ear-Lifting (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=74&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Ear-Spreading (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=77&cvid=MTg0LDE4NSwxODY=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Follow (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=358&cvid=MTcxMQ==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Foot-Nudge (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=104&cvid=MjI0MQ==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Grasp-Tail (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=112&cvid=MTIwMiwxMjAz
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Grasp-Trunk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=113&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Grumble-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=117&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Head-Shaking (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=123&cvid=MzU3LDM1OCwzNTksMzYw
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Husky-Cry (12),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=129&cvid=MTA2OCwxMDY5LDEwNzAsMTA3MSwxMDcyLDEwNzMsMTA3NCwxMDc1LDEwNzYsMTgyMywxODI0LDIyNzk=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Kick-Back (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=132&cvid=MjE4Mw==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Lifting (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=140&cvid=MTY1MSwxNzk2LDE3OTcsMTc5OCwxNzk5LDE4MDA=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Look-Back (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=151&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Mounting (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=156&cvid=Mzg2
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Open-Mouth (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=168&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Orient-Toward (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=171&cvid=MTE3MQ==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Pulling (5),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=188&cvid=MTQ1NCwyMDkwLDIwOTEsMjI4MywyNzc1
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Pushing (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=191&cvid=MjA5Ng==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Retrieve (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=200&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Rev (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=320&cvid=MTE1OA==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Roar (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=205&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Run-After (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=222&cvid=MTUzMg==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Scrape-Ground (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=225&cvid=MTE4OSwxMTkw
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Separated-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=231&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Sheltering (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=236&cvid=ODIzLDgyNCw4MjUsODI2LDgyNyw4Mjg=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Tail-Raising (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=260&cvid=OTIy
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Tail-Swatting (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=261&cvid=NjExLDYxMg==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trumpet (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=334&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trumpet-Blast (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=271&cvid=MTMwOA==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-Nudge (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=383&cvid=MjAyMCwyMDIxLDIwMjI=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-Sweep (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=280&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-to-Body (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=281&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-to-Face (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=283&cvid=Njc5LDY4MA==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-to-Genitals (10),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=284&cvid=NjMzLDYzNCw2MzUsNjM2LDI4NjEsNjM3LDYzOCw2MzksNjQwLDE0NzE=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-to-Mouth (10),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=285&cvid=Njk3LDY5OCw2OTksNzAwLDcwMSw3MDIsNzAzLDcwNCwxNDQzLDI4NjU=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Trunk-Toward (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=286&cvid=MjExMA==
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Walk-Away (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=345&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Walk-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=344&cvid=
"Calf Reassurance & ProtectionBehaviors employed to defend, protect, help, guide, comfort or console calves, or in calf solicitation of such actions.",Walk-Wait (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=298&cvid=MjM2NA==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Back-Toward (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=9&cvid=MTE3LDExOCwxMjAsMTQ0NA==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Bonding-Chorus (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=24&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Bonding-Rumble (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=353&cvid=MTY0Mw==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Coalition-Rumbling (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=42&cvid=MjI0Mg==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Defecating (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=63&cvid=MTcxOA==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Ear-Flap-Slide (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=72&cvid=NTIx
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Ear-Folding (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=73&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Ear-Slap (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=76&cvid=MTMzNw==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Head-Raising (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=122&cvid=MTU5MSwxNTky
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Look-Back (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=151&cvid=MTUwOQ==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Open-Mouth (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=168&cvid=MTU2MSwxNTYy
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Open-Mouth-to-Open-Mouth (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=169&cvid=MTczOA==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Periscope-Trunk (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=173&cvid=MTU3NiwxNTc3
